review,mysentiment,min,max,sentiment
"['Η εικόνα της είναι καλή, ο ήχος ακούγεται λίγο περίεργα. Το μενού είναι εύκολο. Η τιμή θα μπορούσε να είναι λίγο καλύτερη.']",1,-1,2,1
['αγοραστηκε ως δευτερη για να παιζει αποκλειστικα στο playstation 4... αξιζει τα χρηματα της'],1,-1,2,1
['Ειναι πολυ τελεια σας το συνηστο'],1,-1,3,1
"['Επιλέχθηκε η συγκεκριμένη τηλεόραση λόγω των διαστάσεων της για να τοποθετηθεί μέσα σε ράφι ντουλάπας. Το ντιζάιν της είναι πολύ ωραίο το ίδιο και η βάση της.Με το που την ανοίγεις πρέπει να πας κατευθείαν στις ρυθμίσεις εικόνας και ήχου για να γίνουν κάποιες απαραίτητες ρυθμίσεις.Επιλέξτε την δυναμική αντίθεση και αυξήστε όλες τις επιλογές που έχει γιατί ακόμα και οι προρυθμίσεις που έχει είναι πολύ χαμηλές.Κλείστε την εξοικονόμηση ενέργειας.Στις προηγμένες ρυθμίσεις επιλέξτε την δυναμική αντίθεση σε μέτρια,την ελάττωση θορύβου σε χαμηλή,την θερμοκρασία χρώματος σε ζεστό(εμφανίζει πολύ ψυχρά χρώματα όπως όλες οι τηλεοράσεις σήμερα),λειτουργία ταινίας σε κλειστή.Αυτά για την εικόνα με πολύ ψάξιμο και με πολλές διορθώσεις. Το αποτέλεσμα είναι πάρα πολύ καλό με ευκρίνεια και πολύ καλά χρώματα.Υπάρχει όμως ένα μικρό θεματάκι με τις γωνίες θέασης που από ένα σημείο και μετά αλλοιώνονται  τα χρώματα και η ευκρίνεια της και εμφανίζεται υπερφωτισμένη(δεν έχω άποψη για άλλες τηλεοράσεις και αν εμφανίζουν το ίδιο πρόβλημα).Σχετικά με τον ήχο,καλός χωρίς παραμορφώσεις αρκεί να πάτε στις ρυθμίσεις και να επιλέξετε το avl σε ανοιχτό που διπλασιάζει την ένταση του ήχου.Τέλος, για τις λίγες μέρες που την έχω είμαι αρκετά ευχαριστημένος για μία επώνυμη τηλεόραση με δύο χρόνια εγγύηση και η πορεία θα δείξει την αξιοπιστία της. Ξέχασα να αναφέρω ότι είναι πολωνικής κατασκευής.']",0,-3,3,1
['Την πηρα πριν 7 μήνες περίπου για την κρεβατοκάμαρα 126 ευρώ ... είναι μια χαρά ... για σαλόνι δεν την προτείνω ... δεν εχει πολύ δυνατο ηχο ... βάση στο κέντρο είναι σταθερή... πολύ εύκολο μενού ... χρώματα πολύ ωραία ... στα χρήματα αυτά ήταν η καλύτερη  ...VFM ...'],1,-1,3,1
"[""Έχω την 32''αρα. Κάκιστος ήχος για flat tv. Ο media player όταν συνδέεις usb stick δεν εμφανίζει τους υπότιτλους, παρότι στις ρυθμίσεις τους αυτοί είναι στα ελληνικά και ενεργοποιημένοι.""]",0,-1,1,0
"['Την αγόρασα για την κεντρική βάση που έχει ,διότι δεν με βόλευε κάτι διαφορετικό. Σε οποιαδήποτε άλλη περίπτωση θα αγόραζα κάτι άλλο πιο φτηνό. Εάν ήξερα από την αρχή ότι παράγεται στην Τουρκία δεν θα την αγόραζα.']",0,-2,1,1
['Αξιζει τα χρηματα της για κουζινα κρεβατοκαμαρα ειναι τελια  ...για σαλονι δεν θα την προτινα γιατι δεν εχει πολυ δυνατο ηχο .βαση στο κεντρο σταθερη.. πολυ ευκολο μενου χρωματα πολυ ωραια τιμια τα χρηματα που εδωσα 131 ευρω..'],1,-1,2,1
['είναι πολύ καλή όσοι θέλετε να πάρετε μια καλή τηλεόραση με λίγα λεφτά πάρτε αυτή είναι πραγματικά Καλή και αξιζει'],0,-1,1,1
"['Πολύ καλή για τα λεφτά της. Ωραία χρώματα σε σύγκριση με άλλα παλιότερα budget μοντέλα. Ο media player όπως πρέπει. Σταθερή βάση στο κέντρο. Η ένταση του ήχου όταν παίζεις τηλεοπτικό πρόγραμμα θα μπορούσε να είναι λίγο πιο υψηλή. Όταν παίζεις ταινίες ή παιχνίδια είναι αισθητά υψηλότερη.\nΔεν έχω βρει κάτι πολύ αρνητικό στον 1 μήνα που την έχω. Γενικά είναι καλή επιλογή σε αυτά τα λεφτά. Αν προκύψει κάτι, θα επανέλθω.']",0,-2,2,1
