review,result,min,max,stars tag
['Πολύ καλή τηλεόραση.\nΠΡΟΣΟΧΗ έχει μόνο 1 θύρα HDMI και είναι σε κακό σημείο πρέπει δηλαδή να σηκώσεις ανάποδα την συσκευή και να το βάλεις.'],-1,-3,1,1
"['Αγόρασα το 2019 την JVC LT48K780 48"" και από τότε δεν έχει κάνει ούτε ενα udpate από την μέρα που αγοράστηκε με αποτέλεσμα τώρα να μην παίζει το netflix και το youtube γιατί θέλουν αναβάθμιση . Επίσης το market place που έχει μέσα είναι για τα μπάζα . Δεν έχει τίποτα ούτε καν spotify. Στο site της JVC για update δεν δίνει τίποτα και κάποιες φορές η τηλεόραση κολλάει και πρέπει να βγει από την πρίζα για να ξεκολλήσει . Κρίμα τα λεφτά που πέταξα με 50€ παραπάνω έπαιρνα samsung και δεν είχα τέτοια προβλήματα']",0,-3,3,-1
['εδώ και 4 μήνες αγορασμένη είναι ανοικτή 20 ώρες σχεδόν καθημερινά φανταστική εικόνα κανένα πρόβλημα μέχρι τώρα'],1,-2,3,1
"['Την πήραμε για το εξοχικό, αλλά την αδικούμε. Μια χαρά θα ήταν και στο σαλόνι. Σίγουρα value for money.']",1,-1,3,1
['4 αστέρια λόγω της τιμής.. Την πήρα 90 ευρώ σε προσφορά. Για τα λεφτά της αξίζει και με το παραπάνω.. Είναι τηλεόραση καθαρά για κουζίνα ή κρεβατοκαμαρα που θα ανοίγει για κάνα δυο ώρες την ημέρα'],1,-1,3,1
"['Την πήρα στα 90€ γιατί ήθελα να παίζω PS4 στο δωμάτιο μου χωρίς να ζαλίζω τους άλλους. Την δουλειά της την κάνει καλά. Ποιοτική κατασκευή, ο ήχος δεν είναι τέλειος αλλά είναι πολύ καλός για την δουλειά του. Η ένταση του ήχου δεν είναι πολύ δυνατή. Τα χρώματα δεν είναι τα καλύτερα αλλά όπως είπαμε τη δουλειά της την κάνει. Όποιος θέλει να την πάρει μπορεί να την πάρει άφοβα.']",0,-3,3,1
"['Εδω και 6 μηνες αγορασμένη..\nΙκανοποιημένος αρκετά..\nΕύχρηστο μενού, όμορφη και ουδεν πρόβλημα..Το μονο λιγο αρνητικό ειναι με το τηλεκοντρόλ που ειναι πλαστικό β"" διαλογής..Πλεον το εχω συνηθίσει.']",0,-2,2,1
"['Για τα 119€ σε προσφορά, που αγοράστηκε δε μπορείς να περιμένεις περισσότερα. Μόνο αρνητικό ο ήχος που πραγματικά είναι τέρμα πλαστικός. Όχι ότι δεν ακούς άλλα σε αντιπαραβολη με κάτι πιο φυσιολογικό,  η διαφορά είναι ξεκάθαρη.']",1,-2,3,1
"['Πολύ καλή εικόνα και ήχος. Ιαπωνική τηλεόραση (με ότι σημαίνει αυτό για την ποιότητα). Made in china και όχι Τουρκία !!! Το μόνο αρνητικό είναι ότι δεν έχει κουμπί on-offf. Το κουμπί που έχει είναι standby όπως και του τηλεκοντρόλ και ελπίζω να μην επηρεαστεί η αντοχή της στο χρόνο και να την κρατήσουμε πολλά χρόνια !!! Δίνω 4,5/5 αστέρια (9/10) !!!']",-1,-3,2,1
['Μία πολύ απλή τηλεόραση. Την αγόρασα σε προσφορά 109 ευρώ. Εύκολο μενού αλλά η μεταφορά καναλιών θέλει εξοικείωση. Καλή εικόνα αλλά ο ήχος είναι εντελώς απαράδεκτος. Αν και έχει καλή ένταση δίνει την αίσθηση ότι ο ήχος βγαίνει μέσα από ένα μεταλλικό κουτί. Μου θυμίζει τον ήχο από τα παλιά μικρά τρανζιστοράκια. Την πρώτη εβδομάδα μύριζε έντονα καμένο πλαστικό. Στα θετικά είναι ότι έχει δορυφορικό δέκτη S2. Κατάλληλη για χώρους αναμονής γραφείων.  Όσοι θέλουν κάτι πολύ απλό χωρίς πολλές απαιτήσεις ας την αγοράσουν. Δεν την συνιστώ για ψαγμένους και απαιτητικούς τηλεορασάκηδες όπως είμαι και εγώ.'],1,-2,3,0
['Πάρα πολύ καλή για τα λεφτά της και όχι μόνο.καμια σχέση με f&u κ.λ.π.\nΆψογη.'],0,-1,1,1
['Είναι πολύ καλή για τα λεφτά της'],0,-1,1,1
['Πολυ καλη για την τιμη της'],0,-1,1,1
['ειναι τελεια για την τιμη της και 60hz'],1,-1,3,1
['Αξίζει τα χρήματά της'],0,-1,1,1
['Αξιζει με το παραπάνω παιδια για 150 ευρω. Αψογη εικονα μετρια ποιοτητα κατασκευης αψογος ήχος!'],1,-1,2,1
['. Μια χαρα ειναι η τηλεόραση για τα 119 ευρω που την πηρα. Ειναι μια πολυ καλη value for money αγορα με 3 χρονια εγγύηση.'],0,-3,3,1
"['Η εικόνα της είναι καλή, ο ήχος ακούγεται λίγο περίεργα. Το μενού είναι εύκολο. Η τιμή θα μπορούσε να είναι λίγο καλύτερη.']",1,-1,2,1
