"reviews","sentiment"
"Για έναν άνθρωπο που χρειάζεται ενα οικονομικό, πολύ απλό, μονο για κλήσεις, καμια φοτογραφια, και κανα μήνυμα, το P40 lite E, ειναι ιδανικό. Για αυτούς που θέλουν ενα ικανοποιητικό user interface (UI), google services, ολες τις εφαρμογές, και γενικά για πράγματα περισσότερα των <<πολυ βασικών>> ας πάρουν ενα Xiaomi (που κατά την γνώμη μου είναι καλύτερα απο κάθε άποψη), Samsung, ή Motorola. Οι περισσότερες εφαρμογές, τα social media, καθώς και εφαρμογές που ειναι απαραίτητα για την καθημερινότητα, (και επαναλαμβάνω για αυτούς που το χρειάζονται για κατι παραπάνω απο τα πολύ απαραίτητα) δεν υπάρχουν, και πρέπει να εγκατασταθούν απο το ίντερνετ σε μορφή APK, άσχετο του ότι πολλές απο αυτές δν είναι δέκτες απο το σύστημα γιατί χρειάζονται google play services. Το interface, θυμίζει συσκευή 2016-17 , παρά συσκευή 2020. Αναβαθμίσεις δεν λαμβάνει ποτέ και όσο αφορά το ίδιο το κηνιτο, σε αντίθεση με πολλά άλλα στην ιδια κατηγορία τιμής, θυμίζει <<πλαστικουρα>>. Μακριά απο αυτο, δεν αξίζει τα λεφτά του.","0"
"Εμένα δώρο μου το φέρανε... Αρχικά το ανοίγω καταλαβαίνω ότι δεν έχει play store κ αρχίζει ο Γολγοθάς δεν μπορούσα να κατεβάσω πολλές εφαρμογές όπως οι χάρτες η μουσική αλλά αυτό που με πείραξε πολύ είναι ότι δεν έχει τη τράπεζα Πειραιώς τη κανονικη εφαρμογή... Λέω δε πειράζει συνεχίζω κ αρχίζει να κολλάει κάθε μέρα περισσότερο για να μην κολλάει πρέπει να είμαι πάνω από 50% φορτισμένο άλλιως αν πέσει λίγο κολαει σε πολλά ανελέητα . Αντε λέω προσπερνά το κ αυτό κ το τελικό χτύπημα ήταν το ότι όποιος μου στέλνει ένα λινκ ποτέ δε μου το ανοίγει κλασικά τι κατέβασα εφαρμογές τι έψαξα να βρω τρόπο -(εντάξει ένας απλώς άνθρωπος είμαι όχι τεχνικός κινητών) ματαιω.... Το ΧΕΙΡΌΤΕΡΟ κινητό που έχω πάρει στη ζωή μου...","0"
"Το τρίτο χειρότερο κινητό που έχω πάρει από τα 31. Το παλεύω εδώ και μέρες και δεν μπορώ να κάνω εγκατάσταση ούτε 1 εφαρμογή από αυτές που χρησιμοποιούνται","0"
"Κακή ποιότητα κλήσης, δεν με ακούει ο συνομιλητής.","0"
"κακο κινητό για κανέναν λόγο μην το πάρετε προτείνω xiaomi -Samsung","0"
"Έχω το έχω λιγότερο από ένα μήνα αυτό το κινητό και είμαι αρκετά απογοητευμένη... Η ανάλυση της πίσω κάμερας αδιάφορη σε σχέση με αυτό που θα περίμενε κανείς με τις 4 κάμερες που έχει.. Κολλάει αρκετά για καινούρια συσκευή...αργουν ενοχλητικά πολύ οι ειδοποιήσεις της οθόνης να φύγουν απτην οθόνη... Δεν έχει καλή εμβέλεια στο WiFi χάνεται το σήμα όλη την ώρα αργούν να έρθουν τα μηνύματα ενώ έχω πολύ καλό ίντερνετ σπίτι... Δείχνει ότι έχω διαβάσει τα μηνύματα με το που ξεκλειδώσω το κινητό και πολλά άλλα που με έχει απογοητεύσει... Πολύ κακό κινητό κατ εμέ.. Δεν το προτείνω και πιστεύω δεν αξίζει τα λεφτά του","0"
"Απογοήτευση.το wifi απαραδεκτο.λειτουργεί μόνον εαν είμαι διπλα στο router.όταν απομακρυνθώ πιάνει  ελάχιστα εως καθόλου.εχω ενα hawai 4ετίας και διπλα διπλα  το hawai πιανει 63 mbbs και το sumsung 12 . Εχω παει 2 φορες στο service και επειδη απαγορεύεται να βγουν εκτος του service θεωρουν πως δεν υπάρχει προβλημα.μακριά!!!","0"
"Μακράν το χειρότερο κινητό που χω πάρει, ήθελα να αφήσω την Huawei κ να ξαναπάρω samsung κ την πάτησα για τούς εξής λόγους. 
1.δεν εχει καλό σήμα η συσκευή στην καλύτερη 3 σκάλες .(δεν εχει να κάνει με την περιοχή πού είμαι)
2.αργεί πολύ να φορτώσει μια εφαρμογή 
3.δεν υπάρχει Screensaver στο μενού παρα μόνο με συνδυασμό των 2 πλαγιων κουμπιών (ήχου-power)
4.δεν εντοπίζει εύκολα συσκευή Bluetooth καθώς κ Wi-Fi. 

Υγ:ΜΗΝ ΠΕΤΑΞΕΤΕ ΤΑ ΛΕΦΤΑ ΣΑΣ ΟΠΩΣ ΕΓΩ 
επιλέξτε καλύτερα a51s","0"
"Το μόνο που αξίζει για μένα είναι η μπαταρία του.Με συνεχομενη χρήση κρατάει 2 μερες,αλλά σαν συσκευή είναι κακη επιλογή αφου μέσα σε 15 μέρες μου έκαναν ηδη πλήρη αντικατάσταση της συσκευής αφού εμφάνισε εργοστασιακά προβλήματα.....Η κάμερα είναι κακής ποιότητας ειδικά η μπροστινή,μετα από τη πρώτη αναβάθμιση της συσκευής πάλι μου εμφάνισε προβλήματα.Κολλάει,  μπαίνει σε εφαρμογές μόνο του,γράφει σβήνει το πληκτρολόγιο πάλι μόνο του και κτλ.Πολυ μικρή χωρητικότητα μνήμης, πήρα να βάλω εξωτερική κάρτα μνήμης και ξαφνικά μια μέρα δε μου την αναγνώριζε διαγράφοντας μου και όλα μου τα αρχεία.....Πολλά αρνητικά έαν κάτσω να τα αναλύσω.Τεραστια απόγοητευση για μοντέλο της Samsung  και για 200€ που το πήρα είναι από τις χειρότερες επιλογές που έχω κάνει...","0"
"δεν αξιζει τα χρηματα του, αργο και το ιντερνετ συνεχεια φευγει και ξανα ερχεται ( συμβανει μονο στο συγεκριμενο κηνιτο) ειναι αργο και η αναλυση δεν ειναι καν 480π. Μεγαλη απογοητευση!","0"
