reviews,sentiment
"Τι να πει κανείς για το iPad ....Εγώ το πήρα ως αντικατάσταση ενός iPad του 2015, το οποίο το είχα λιώσει και παρουσίασε ζημιά η οθόνη του όποτε δεν άξιζε η επισκευή . Επειδή βρίσκομαι συνέχεια στον δρόμο λόγω δουλειάς ήθελα tablet και όχι laptop... Είναι πολύ σημαντικό για μένα να εχω πρόσβαση σε εταιρικά emails, back office από  2 website, ενημέρωση τραπεζικών λογαριασμών, μεταφορές, ενημέρωση κειμένων στα website ,  λίγο social media .Δουλεύω αρκετά κειμενογράφο , όποτε το pages μου φάνηκε αρκετά χρήσιμο. Για μένα είναι εργαλείο και για αυτό κατέληξα στο 4g. Είναι ακριβό? Ναι είναι , αλλά σε βάθος χρόνου , με την υποστήριξη που έχει και το γεγονός ότι δεν πέφτει η απόδοση του, αξίζει σαν εργαλείο. Η αλήθεια είναι ότι θα μπορούσα να κάνω τα ίδια πράγματα και με το απλό που στοίχιζε 569, όμως είπα τελικά να κάνω την υπέρβαση . Η αλήθεια  είναι ότι αισθητικά είναι αναβαθμισμένο....Αξίζει .... Λειτουργικά μου έλειψε η 3.5 mini jack που δεν την έχει, από την άλλη όμως βολεύει η θύρα για ευκολότερη σύνδεση να κατεβάσεις τα αρχεία σου. Δεν κολλάει , δεν ιδρώνει όσες εφαρμογές και να τρέξεις. Δεν έχω χρησιμοποιήσει το pencil, λογικά ίσως κάνω το βήμα κάποια στιγμή , όμως στις εφαρμογές που χρησιμοποιώ δεν το χρειάζομαι. Ότι και αν πω βέβαια για την ενημέρωση μέσω λογαριασμού είναι λίγο...Μου πέρασε όλες τις εφαρμογές που είχα, ακόμα και κωδικούς WiFi από μέρη που χρησιμοποιούσα....(Με το παλιό iPad).. Για την μπαταρία , για την ώρα όλα οκ. Δεν το έχω πολύ καιρό , όποτε δεν έχω ακόμα διαμορφωμένη άποψη για το πως διαχειρίζεται την διάρκεια δουλεύοντας εκτός μέσω 4g, όμως σε χρήση Skype 1h 45 λεπτά έπεσε 20% περίπου.(σε WiFi )... Ελπίζω να με συντροφέψει αρκετό καιρό, με βάση αυτά που κάνω λογικά δεν θα ιδρώσει ....",1
"Προσπαθώ να καταλάβω τι κάνει η apple, με έχει κατά-μπερδέψει. 
Προσωπικά είχα το iPad 7gen κ δούλευα με αυτό πάνω σε απλά Καίτη Ερίνα πράγματα, όταν άρχισα ν σκέφτομαι την αναβάθμιση σε iPad Air ή στο iPad Pro εκεί κάπου τα έχασα, οι διάφορες είναι πολύ λίγες …. Πρακτικά το iPad Air  πορεία άνετα να χαρακτηριστεί σαν iPad Pro killer! 
Μιας και που οι διάφορες ουσιαστικά είναι τόσο λίγες και για κάποιον που δεν είναι οχ φωτογράφος ή σχεδιαστής για να το θέλει για μια πιο επαγγελματική δουλειά το iPad Air είναι η καλύτερη μα η καλύτερη επιλογή. Νέος σχεδιασμός, πολύ καλή μπαταρία, πολύ καλή οθόνη. Πραγματικά είμαι ενθουσιασμένος!",1
"Διχαζόμουν ανάμεσα σε pro 2020 128 GB και air 2020 256 GB space grey (όταν έψαχνα ήταν φτηνότερο το air 80 ευρώ). Κάτοχος του iPad Pro 2017 10,5 ιντσών ,  σκεφτόμουν ότι θα έπαιρνα ένα tablet (air) με πιο καινούργιο επεξεργαστή μεγαλύτερη μνήμη και Touch ID (το θεωρώ πιο βολικό από το Face ID), αλλά με προβλημάτιζε ότι είχε χαμηλότερο ρυθμό ανανέωσης στην οθόνη και λιγότερους πυρήνες επεξεργαστή και γραφικών από το pro. Ε λοιπόν πήρα το air και από τη χρήση του μια εβδομάδα τώρα καμμία σχέση με τους φόβους μου. Ο ρυθμός ανανέωσης 60hz έχει πολυυυυ μικρή διαφορά στο μάτι με τα 120 του pro. Σχεδόν ανεπαίσθητο, σε αυτά που κάνω μέχρι στιγμής με το air. Βασικά έχει οθονάρα!! Ο ηχος από τα δυο ηχεία του air είναι αξιοπρεπεστατος αν όχι εφάμιλλος με τα 4 του pro.Είναι ταχύτατο δεν κολλάει πουθενά μέχρι τώρα και αν συνδυαστεί με πληκτρολόγιο με touchpad και μολύβι, τότε αντικαθιστά μια χαρά ένα υπολογιστή για μια μέση χρήση. Τώρα σε απαιτητικές εργασίες τύπου επεξεργασία 4Κ βίντεο ή cad σχεδιασμό κλπ δεν εχω ακόμη άποψη. 
Πάντως με λίγα λόγια είναι φοβερή vfm επιλογή για έναν μέσο χρήστη και πιστέυω ακόμη και για πιο ψαγμένους. 
Φυσικά ο νέος pro με M1 θα είναι πολύ καλύτερος από άποψη ταχύτητας ή γραφικών (στο 12,9 ίντσες) αλλά και τα λεφτά πολύ περισσότερα  (από ότι άκουσα θα ξεκινούν από 1000 € και θα φτάνουν τα μεγαλύτερη μοντέλα μέχρι και 2,500 € πράγμα που τα κατατάσσει αυστηρά για επαγγελματίες!
Ένα πράγμα μόνο δεν καταλαβαίνω γιατί τα αλλά χρώματα στην ίδια χωρητικότητα είχαν πιο ακριβά ; Ανεξήγητο !",1
"Artist / college student review :)
Το χρησιμοποιω με procreate και clipstudio και ειναι αψογο. Εχει 4gb λιγοτερη ram αποτι τα 2021 pros και δεν ηξερα αν θα αντεχε μεγαλα αρχεια ή πολλες βαριες εφαρμογες ταυτοχρονα, αλλα τελικα δεν εχει κανενα απολυτως θεμα. Και να θελω να το κανω να κολλησει δεν μπορω.
Αψογη, φωτεινη οθονη, αψογο και το apple pencil φυσικα(οσο αναφορα accuracy θα ελεγα ακομα καλυτερο και απο πολλα wacom pens)
Ενα ακομα θετικο ειναι πως μπορεις να το χρησιμοποιεις ασυρματα ως δευτερη οθονη για mac, αρα θεωρητικα ειναι ενα μικρο φθηνο cintiq.
Η θυρα usbc ειναι υπερβολικα βολικη, και κανει την μεταφορα μεγαλων αρχειων πανευκολη

Για σημειωσεις διαλεξεων ειναι απλα αποστευτο. Ελαφρως υπερβολικη η τιμη του αν σκοπευεις να το χρησιμοποιησεις μονο για σημειωσεις, αλλα πραγματικα απο τοτε που αρχισα να γραφω στο ipad με notability δεν εχω ξαναακουμπησει στυλο και τετραδιο. 

Εξαιρετικο προιον που θα κρατησει με ευκολια τουλαχιστον 5/6 χρονια. Πιστευω αξιζει να δωσεις τα παραπανω χρηματα για το air αντι για το budget ipad, αν εχεις την οικονομικη δυνατοτητα. Απο την αλλη εκτος αν σκοπευεις να αντικαταστησεις τον υπολογιστη σου με ipad, νομιζω δεν χρειαζεται να δωσεις σχεδον τα διπλασια λεφτα για το pro.",1
"Αμα σκεφτεστε αυτο η το pro η απαντηση ειναι απλη αυτο!!!και σασ το λεω χωρισ δισταγμο. αρχικα αξιζει πολυ περισσοτερο απο το pro. το pro εχει απλα καλυτερεσ καμερεσ και καλυτερη οθονη.αυτο...αρχικα παμε να δουμε τι καλυτερο εχει το προ και γιατι. το προ εχει 2 καμερεσ αντι για μια που εχει το air και εχει και εναν αισθητηρα.αυτα για τισ καμερε.οσο για την οθονη το προ εχει 120hz αντι για 60 που εχει το air.
επισησ το air εχει λιγο καλυτερο επεξεργαστη που ειναι εντυπωσιακο για τα λευτα του.επισησ εχει touch id kai oxi face id. η μπαταρια κραταει ανετα 10+ωρεσ και αμα παρετε ενα ποντικι το πληκτρολογιο την apple(magick keyboard) και το apple pencil ειναι στην  ηδια τημη με εναν υπολογιστη αλλα καλυτερο.δεν εχω κανενα παραπονο και αμα μπορουσα θα το ξανααγοραζα. ελπιζω να σασ βοηθησα",1
Εξαιρετικο εργαλειο και ως αντικειμενο ψυχαγωγιας! Δεν θα πω πολλα εχω κανει ενα μικρο βιντεο για οσους ενδιαφερονται https://youtu.be/LCjTEMniIP0,1
"Έδωσα επιπλέον 200 ευρώ για το cellular, η λέξη αυτή σημαίνει κινητό το οποίο σημαίνει ότι κάνει κλήσεις! Δεν κάνει όμως κλήσεις, παίρνει κάρτα  sim μόνο για δεδομένα κινητής. Η αναφορά σε cellular είναι παραπλανητική και θα παραπονεθώ άμεσα στην apple καθώς το παρέλαβα πριν 2 ημέρες και μόλις το διαπίστωσα.",1
"Οσον αφορά τον σχεδιασμό είναι πραγματικά ένα κόσμημα πού χαίρεσαι να το έχεις στα χέρια σου . Ψάχνω να βρω κατι αρνητικό και δεν βρίσκω ειλικρινά ίσως μόνο το ότι τα χρώματα από κοντά είναι πολύ διαφορετικά από τις φωτογραφίες.Αν κοιτάζετε και το pro για μένα προσωπικά δεν αξίζει καθόλου τα 300 και ίσως παραπάνω ευρώ που ζητάει απλα για το lidar τα 120 ΗΖ στην οθόνη και λίγη παραπάνω ram εκτός εάν χρειάζεστε μεγαλύτερη οθόνη αν και δεν νομίζω ότι βολεύουν οι 12,9 ιντσες μέγεθος . Επίσης πάλι δική μου άποψη δεν αξίζει το 8th gen παίρνετε επεξεργαστή που είναι 2 χρόνια παλιότερος από αυτόν του air ,η οθόνη του είναι μέτρια και δεν έχει usb-c ούτε και καλά ηχεία. Συνοπτικά αυτή η επιλογή είναι η πιο vfm

Update
Μετά από 3 μέρες χρήσης ,εχω να πω οτι τα σπάει σε ταχύτητα ,και σαν φοιτητής τουλάχιστον νιώθω οτι το λάπτοπ μου θα αρχίσει να μαζεύει σκόνη επειδή αυτό είναι πολύ καλύτερο από υπολογιστή , ανάλογα βέβαια το σκοπό χρήσης του υπολογιστή.Το μόνο αρνητικο είναι το ηχείο του που για μουσική θα περίμενα να είναι λίγο καλύτερο ,αλλα για ταινίες κλπ είναι μια χαρά και σίγουρα δεν αποτελεί λόγο να μην το επιλέξετε.Εχει και δώρο ενα χρόνο το apple tv και 3 μήνες apple Arcade για παιχνίδια . Αυτά από μένα και ελπίζω να βοήθησα",1
"Είναι φανταστικό μηχάνημα. Με το στύλο μαζί τρομερό. Αρκετά ακριβό, αλλά καλώς ή κακώς αξίζει τα λεφτά του με την επεξεργαστική ισχύς που προσφέρει. Το χρησιμοποιώ όπως και το προηγούμενο iPad που είχα για επαγγελματικούς κυρίως σκοπούς, cad και 3D προγράμματα και είναι σε άλλο επίπεδο, έχω αντικαταστήσει το laptop μου. Χρειάζεται και άλλο software αλλά αξίζει σε σχέση με το ποσό βολεύει σε χώρο και φορητότητα. Οπωσδήποτε χρειάζεται θήκη η οποία να γίνεται βάση θεωρώ και μια βάση για το γραφείο είναι μεγάλο να το κρατάς στο χέρι. Η οθόνη είναι από άλλο γαλαξία. Τα ηχεία επίσης. Δεν έχω κάτι αρνητικό να πω. Κάνει και αναγνώριση χειρογράφου κειμένου και στα ελληνικά, με εφαρμογή από το AppStore. Μην το πάρετε όμως αν δεν θέλετε να κάνετε δουλειά πάνω του. Όχι απαραίτητα βαριά δουλειά, αλλά για να έχετε ένα ταμπλετακι να βλέπετε βίντεο και Ίντερνετ και μουσική δεν αξίζει να δώσετε τόσα χρήματα, εκτός και αν τα έχετε και δε σας νοιάζει. Ασύλληπτα δυνατό όμως. Πολύ ευχαριστημένος.",1
Το έχω εδώ και περίπου ενάμιση μήνα μετά από iPad Air 2. Η διαφορά είναι αισθητή τόσο σε θέμα ταχύτητας όσο και οθόνης. Όλα για άλλη μια φορά εξαιρετικά. Ένα από τα καλύτερα tablet της αγοράς -εάν όχι το καλύτερο!!!! Σίγουρα θα βγάλει πενταετία.,1
